id,value,feed_id,created_at,lat,lon,ele
0FRCDGNCF4ASWQ1CQP156GD0MC,1,2951672,2024-12-01 14:51:12 UTC,,,
0FRCDH75CPDKW81HVCBHXAEC9X,0,2951672,2024-12-01 14:52:10 UTC,,,
0FRCE2C9K2N8YGBCGX3BDY48T6,1,2951672,2024-12-01 15:22:10 UTC,,,
0FRCE7082JG1BT415B1X15B0E0,0,2951672,2024-12-01 15:30:14 UTC,,,
0FRCER6RD6XT0S2S60EWBMM957,1,2951672,2024-12-01 16:00:18 UTC,,,
0FRCF9AZT9ZM6D6F9HKHK5TK1M,0,2951672,2024-12-01 16:30:15 UTC,,,
0FRCFTK8KWQ8G9G034EZJSY1X3,1,2951672,2024-12-01 17:00:25 UTC,,,
0FRCGBNBDSHRGQFSWY7411H3PZ,0,2951672,2024-12-01 17:30:14 UTC,,,
0FRCGWW2BGNDG9JKHMKFTRS188,1,2951672,2024-12-01 18:00:19 UTC,,,
0FRCHE1AKGXAYWDG2TSWSN44ED,0,2951672,2024-12-01 18:30:18 UTC,,,
0FRCHZ63Z3DJFYC6VN1ET35N50,1,2951672,2024-12-01 19:00:17 UTC,,,
0FRCJGBQZSX9KQFSNPBJZFDJNA,0,2951672,2024-12-01 19:30:18 UTC,,,
0FRCK1KDZVQ4TWM1D8C1VPC06P,1,2951672,2024-12-01 20:00:25 UTC,,,
0FRCKJPHQSFBRWFB4ZWF5R81X3,0,2951672,2024-12-01 20:30:18 UTC,,,
0FRCM3Z51FK9MXN80926A0E5BG,1,2951672,2024-12-01 21:00:29 UTC,,,
0FRCMN15VYS5EC93XCP3NWTZF0,0,2951672,2024-12-01 21:30:18 UTC,,,
0FRCN68446KJMXQQF1FBN5Q2B1,1,2951672,2024-12-01 22:00:24 UTC,,,
0FRCNQBVG22QCSQMPV87PY7JAR,0,2951672,2024-12-01 22:30:18 UTC,,,
0FRCP8M7JHXWD5F13R6DV9ANSW,1,2951672,2024-12-01 23:00:28 UTC,,,
0FRCPSP6J0VGSVER30F96FVXBE,0,2951672,2024-12-01 23:30:17 UTC,,,
0FRCQAXEHRJW7NDQMZB9B6NCMQ,1,2951672,2024-12-02 00:00:24 UTC,,,
0FRCQW15BXPJ88Z2EP9VJ1VSNV,0,2951672,2024-12-02 00:30:18 UTC,,,
0FRCRD92RVZ1DRCMPP25P4M1XK,1,2951672,2024-12-02 01:00:27 UTC,,,
0FRCRYBNXHC72G1PQRQYHM4YPM,0,2951672,2024-12-02 01:30:18 UTC,,,
0FRCSFK9YFQAJEFQG99V6N2FGW,1,2951672,2024-12-02 02:00:26 UTC,,,
0FRCT0P8BBB5R0BD0SNZFE4HFA,0,2951672,2024-12-02 02:30:18 UTC,,,
0FRCTHXSVXM13BXEFJWQ3WZH5K,1,2951672,2024-12-02 03:00:25 UTC,,,
0FRCV30YY35CZPMHT9BCR307MR,0,2951672,2024-12-02 03:30:18 UTC,,,
0FRCVM80RJ8YH80GNF4Q0BSHP8,1,2951672,2024-12-02 04:00:24 UTC,,,
0FRCW5BK1T4HKKSCFSXH0AK88D,0,2951672,2024-12-02 04:30:18 UTC,,,
0FRCWPMNGJKVP1VQVEQCJ3C21D,1,2951672,2024-12-02 05:00:30 UTC,,,
0FRCX7P1R62RQF38EYYDJA67HC,0,2951672,2024-12-02 05:30:18 UTC,,,
0FRCXRX8QTNKYX9NG6AYPENKA7,1,2951672,2024-12-02 06:00:24 UTC,,,
0FRCYA0Z84B8SSW5NZ95VZGCTJ,0,2951672,2024-12-02 06:30:19 UTC,,,
0FRCYV8MYBK3RADE8AJ03A7A5E,1,2951672,2024-12-02 07:00:26 UTC,,,
0FRCZCAN5AR209T19MMJJTBCVR,0,2951672,2024-12-02 07:30:15 UTC,,,
0FRCZXKF7W7DRR5EBN94JTYRBJ,1,2951672,2024-12-02 08:00:27 UTC,,,
0FRD0ENZV84XGJCZJM9VTZ68VF,0,2951672,2024-12-02 08:30:18 UTC,,,
0FRD0ZY5210ZGA6XSX7EBBJB3H,1,2951672,2024-12-02 09:00:27 UTC,,,
0FRD1H0JQARA72QRCBK69CTRPK,0,2951672,2024-12-02 09:30:18 UTC,,,
0FRD227YNV1MSHXSZEPS1ARKWC,1,2951672,2024-12-02 10:00:24 UTC,,,
0FRD2KB6F9Q7PFVBW7JPHYN1MH,0,2951672,2024-12-02 10:30:18 UTC,,,
0FRD34KR2NEH707DMDNS458J3S,1,2951672,2024-12-02 11:00:28 UTC,,,
0FRD3NNY4N66Y58EA3A51NJQJ7,0,2951672,2024-12-02 11:30:18 UTC,,,
0FRD46X33QG37K7YGN547S7V47,1,2951672,2024-12-02 12:00:24 UTC,,,
0FRD4R0JTVK7W62NYXGZ5MS958,0,2951672,2024-12-02 12:30:18 UTC,,,
0FRD599K602CQ4SGVV0DHD9H87,1,2951672,2024-12-02 13:00:30 UTC,,,
0FRD5TB8XHMAPWHYC62528PMXT,0,2951672,2024-12-02 13:30:18 UTC,,,
0FRD6BKC7FSD40KB7SG6J68Y4B,1,2951672,2024-12-02 14:00:27 UTC,,,
0FRD6WP6CTAFT1FTK05ZM0HD74,0,2951672,2024-12-02 14:30:19 UTC,,,
0FRD7DYDA8D50N82MMJEJ06RT8,1,2951672,2024-12-02 15:00:29 UTC,,,
0FRD7Z0GQ9A1R9RRQZY79F7JNP,0,2951672,2024-12-02 15:30:18 UTC,,,
0FRD8G7Z0PVWTZ02YBVVJPSEV1,1,2951672,2024-12-02 16:00:25 UTC,,,
0FRD91B68QBWDDBCW2EH2WMCPK,0,2951672,2024-12-02 16:30:18 UTC,,,
0FRD9JMEJBN2NVS459Z79WT9RG,1,2951672,2024-12-02 17:00:31 UTC,,,
0FRDA3P1YQT02J6ZP862ZNXQ6W,0,2951672,2024-12-02 17:30:19 UTC,,,
0FRDAMXQK4RQMZAEMQRZP2A03P,1,2951672,2024-12-02 18:00:27 UTC,,,
0FRDB60YB8M1SARR3D5RQHG6AY,0,2951672,2024-12-02 18:30:20 UTC,,,
0FRDBQ8X1KFHR51YS8MSQYXWNW,1,2951672,2024-12-02 19:00:28 UTC,,,
0FRDC8BGX5BDQKYBAX1YJ699S9,0,2951672,2024-12-02 19:30:20 UTC,,,
0FRDCSKR4R342CQNK836AY0F8E,1,2951672,2024-12-02 20:00:29 UTC,,,
0FRDDAP6SE8VQ02ZFAXH41S5R7,0,2951672,2024-12-02 20:30:20 UTC,,,
0FRDDVYWJMDQMDAB4EPVY9XDCA,1,2951672,2024-12-02 21:00:31 UTC,,,
0FRDED0PMS17C5PVYQ22CEHKPY,0,2951672,2024-12-02 21:30:19 UTC,,,
0FRDEY8ABAZF0XJHBFVWSYMWPP,1,2951672,2024-12-02 22:00:27 UTC,,,
0FRDFFBEX1X4RMMH5FQV1770AD,0,2951672,2024-12-02 22:30:20 UTC,,,
0FRDG0M6N63DP097B5VNXFBBVZ,1,2951672,2024-12-02 23:00:31 UTC,,,
0FRDGHNZXE2TDK7EAKD3ZR7N8V,0,2951672,2024-12-02 23:30:19 UTC,,,
0FRDH2XSZW3Z83QMWMZSM8NV4C,1,2951672,2024-12-03 00:00:28 UTC,,,
0FRDHM0NG8T1JNM29SMHVR6T79,0,2951672,2024-12-03 00:30:20 UTC,,,
0FRDJ59GRRY5EAMTMD7ZP17SBK,1,2951672,2024-12-03 01:00:31 UTC,,,
0FRDJPBCD3AW6YWBRY7384BAF1,0,2951672,2024-12-03 01:30:20 UTC,,,
0FRDK7KR4MWE0X9NEKB5F6W4V9,1,2951672,2024-12-03 02:00:30 UTC,,,
0FRDKRNYPCHG5ZZX0HR2HVWS3Y,0,2951672,2024-12-03 02:30:20 UTC,,,
0FRDM9Y7EZC6VQJB8RQ5MJ9B9T,1,2951672,2024-12-03 03:00:29 UTC,,,
0FRDMV05CD14NNPC8XAA5N86X3,0,2951672,2024-12-03 03:30:18 UTC,,,
0FRDNC7CZMCJGBFVRW5575C37T,1,2951672,2024-12-03 04:00:24 UTC,,,
0FRDNXANZ8BBZVECYWS6XP9XG0,0,2951672,2024-12-03 04:30:18 UTC,,,
0FRDPEM67H3P6Y49670QNJ3Z3K,1,2951672,2024-12-03 05:00:32 UTC,,,
0FRDPZN6GJ1HPFQ57HP7YYJMFS,0,2951672,2024-12-03 05:30:17 UTC,,,
0FRDQGWFZAJCKWNNWB15HDE9YM,1,2951672,2024-12-03 06:00:24 UTC,,,
0FRDR1ZXFAFSSV5TBWW5FAS2AW,0,2951672,2024-12-03 06:30:18 UTC,,,
0FRDRK7VXTME44STEEBMQ9NWCD,1,2951672,2024-12-03 07:00:26 UTC,,,
0FRDS4AR0WZW7PPC6QAME9WCME,0,2951672,2024-12-03 07:30:18 UTC,,,
0FRDSNJWXZSCAZ8329RGVEHQ6J,1,2951672,2024-12-03 08:00:28 UTC,,,
0FRDT6N8NGN251SD6PQ6JTFSTD,0,2951672,2024-12-03 08:30:18 UTC,,,
0FRDTQXVH2B4R1ZVDVAFJYRZ02,1,2951672,2024-12-03 09:00:29 UTC,,,
0FRDV901HB8WDNXVVSMHNDYP5B,0,2951672,2024-12-03 09:30:18 UTC,,,
0FRDVT77XJ79WX2K5S2PTCBHVT,1,2951672,2024-12-03 10:00:25 UTC,,,
0FRDWBAFPT0YT8HRHXHFV0KGB7,0,2951672,2024-12-03 10:30:18 UTC,,,
0FRDWWKFV292KWNMJP9P2M7JWZ,1,2951672,2024-12-03 11:00:30 UTC,,,
0FRDXDN8GWBJXGQ33A8MBR0XDF,0,2951672,2024-12-03 11:30:18 UTC,,,
0FRDXYWGR3K14Z0MFWNE6FHKX6,1,2951672,2024-12-03 12:00:25 UTC,,,
0FRDYFZY5PME7W7TZFWRBFTV7C,0,2951672,2024-12-03 12:30:18 UTC,,,
0FRDZ18YHGNNTGNJ55ZG0MB3QD,1,2951672,2024-12-03 13:00:31 UTC,,,
0FRDZJAJMSV5VM7J7DJETDMFH3,0,2951672,2024-12-03 13:30:18 UTC,,,
0FRE03JXZXKXG7C69V74SEJ51E,1,2951672,2024-12-03 14:00:28 UTC,,,
0FRE0MNB18Z8XQ90T4T5MT27XP,0,2951672,2024-12-03 14:30:19 UTC,,,
0FRE15XSHFV1VKBP7WF1RZTS4N,1,2951672,2024-12-03 15:00:29 UTC,,,
0FRE1Q040AYXR60XM109SA1MGF,0,2951672,2024-12-03 15:30:19 UTC,,,
0FRE287PSSFYNG4BKCN1GGDY6E,1,2951672,2024-12-03 16:00:27 UTC,,,
0FRE2SAMJZ1GVV7Z19QE9VHCY3,0,2951672,2024-12-03 16:30:19 UTC,,,
0FRE3AKTAGNCFZ6J2YQ1T20XGA,1,2951672,2024-12-03 17:00:32 UTC,,,
0FRE3VN7CHH9PKBD8BZWQC1YGD,0,2951672,2024-12-03 17:30:19 UTC,,,
0FRE4CWP2GSQGWGKHYDJPG16SN,1,2951672,2024-12-03 18:00:26 UTC,,,
0FRE4XZNX1G7EF3WBM5995W4TW,0,2951672,2024-12-03 18:30:18 UTC,,,
0FRE5F806TH9VCH49M93W2XX46,1,2951672,2024-12-03 19:00:28 UTC,,,
0FRE60AKGK8R2DG2SRZZYXGDNK,0,2951672,2024-12-03 19:30:19 UTC,,,
0FRE6HJWJ2E4MDBN2KKHSP86HA,1,2951672,2024-12-03 20:00:29 UTC,,,
0FRE72N2ZCJ51RF5RJATXNJGD0,0,2951672,2024-12-03 20:30:19 UTC,,,
0FRE7KYNXEMX3D46WJDDTAAD6B,1,2951672,2024-12-03 21:00:33 UTC,,,
0FRE84ZWA21GSMZ6ZMV6FRDQZA,0,2951672,2024-12-03 21:30:19 UTC,,,
0FRE8P7BP53MFZB2ZZ26A9PR1N,1,2951672,2024-12-03 22:00:26 UTC,,,
0FRE97AN2HYX7TGR1103R1ZV9K,0,2951672,2024-12-03 22:30:20 UTC,,,
0FRE9RKJ1P3NJQ20H05H79EG4X,1,2951672,2024-12-03 23:00:31 UTC,,,
0FREA9N2GKAK7TSYYQVETNQ63M,0,2951672,2024-12-03 23:30:19 UTC,,,
0FREATWRTM8RD9XSMPHZKJNPVX,1,2951672,2024-12-04 00:00:27 UTC,,,
0FREBBZPA3R0F1F9AYGJP0XF5N,0,2951672,2024-12-04 00:30:19 UTC,,,
0FREBX8DWB172P0W9Q81HKRZQJ,1,2951672,2024-12-04 01:00:30 UTC,,,
0FRECEADS5Q1DK4QT6TBADD9T6,0,2951672,2024-12-04 01:30:19 UTC,,,
0FRECZJ63MYV25RAFYKQMHKZ4X,1,2951672,2024-12-04 02:00:27 UTC,,,
0FREDGMNKQ8QT0HTEA0P5G9MKJ,0,2951672,2024-12-04 02:30:18 UTC,,,
0FREE1WPVQZCR9QW9M2GR7EMS5,1,2951672,2024-12-04 03:00:27 UTC,,,
0FREEJZD1FT51KWVP1C8JPYW26,0,2951672,2024-12-04 03:30:18 UTC,,,
0FREF46GXNSA7Q3CPTFZND1XC3,1,2951672,2024-12-04 04:00:24 UTC,,,
0FREFN9KQYK8CWRPQMP209R5FV,0,2951672,2024-12-04 04:30:17 UTC,,,
0FREG6JZQD7YFPMJDDP7P5YPYG,1,2951672,2024-12-04 05:00:30 UTC,,,
0FREGQMJ89CF6A77KX8GEZE7Z6,0,2951672,2024-12-04 05:30:18 UTC,,,
0FREH8VQ0TRNJJGDE545SAM5YT,1,2951672,2024-12-04 06:00:24 UTC,,,
0FREHSYZ07C2R6MKQ31AZATZF6,0,2951672,2024-12-04 06:30:17 UTC,,,
0FREJB702GPFSWQBFCZ47W7H63,1,2951672,2024-12-04 07:00:26 UTC,,,
0FREJW9SKW9NHX6J6N4HA92J12,0,2951672,2024-12-04 07:30:18 UTC,,,
0FREKDHTC571VV33R6WG1QZRY1,1,2951672,2024-12-04 08:00:27 UTC,,,
0FREKYMJQX04GJP163450CEZ6N,0,2951672,2024-12-04 08:30:18 UTC,,,
0FREKYSMGX521XCYPRRRPZYM3K,1,2951672,2024-12-04 08:30:35 UTC,,,
0FREKYVYHNSZ4GSEKPCPWJ60C7,0,2951672,2024-12-04 08:30:43 UTC,,,
